valor,rsi,b7l,b7u,b21l,b21u,ema100,ema200
"[139.978935, 47.05646546787522, 139.7725322592352, 140.14985202647912, 139.7755894602813, 140.34156911114724, 140.075699, 140.152878, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.981665, 47.80382802955175, 139.77302340775256, 140.15014087796177, 139.77587118305732, 140.3415473883712, 140.075699, 140.152878, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.976425, 46.38965731383927, 139.77207672472244, 140.14959041813475, 139.7753244918455, 140.34159503196398, 140.075699, 140.152878, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.975925, 46.25907785846753, 139.77198552753435, 140.14953875817997, 139.77527102939675, 140.34160087536517, 140.075699, 140.152878, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.969665, 44.684322149109676, 139.77083101899987, 140.1489046952859, 139.77458259992832, 140.3416931143574, 140.075699, 140.152878, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.970965, 45.002464538038375, 139.77107270898276, 140.1490344338744, 139.774728468236, 140.3416710555735, 140.075699, 140.152878, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.965895, 43.786635404453236, 139.7701243927306, 140.14853417869804, 139.77415099385772, 140.34176567280892, 140.075699, 140.152878, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.965695, 43.74001916321009, 139.7700866683877, 140.14851476018373, 139.77412774067676, 140.34176987837083, 140.075699, 140.152878, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.965485, 43.69117881639932, 139.77004703209522, 140.14849439647625, 139.77410328623805, 140.3417743328096, 140.075699, 140.152878, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.962475, 43.002930709654166, 139.7694760176419, 140.1482054109296, 139.77374843122467, 140.34184252115622, 140.075699, 140.152878, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.963475, 43.22916666666503, 139.76966632333313, 140.14830081952408, 139.77386722309487, 140.34181896738133, 140.075699, 140.152878, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.964975, 43.57301940821191, 139.76995066280807, 140.14844505147767, 139.77404373230732, 140.34178531531168, 140.075699, 140.152878, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.967245, 44.10391283344841, 139.77037840639937, 140.14866587931496, 139.77430701436091, 140.34173822373427, 140.075699, 140.152878, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.969765, 44.70863485499715, 139.77084964651368, 140.14891463920065, 139.77459387453234, 140.34169136356286, 140.075699, 140.152878, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.970265, 44.83059632277083, 139.77094269415545, 140.14896444870175, 139.77465011266167, 140.34168274448115, 140.075699, 140.152878, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.965855, 43.77730420884593, 139.77011684977492, 140.14853029308227, 139.77414634609093, 140.34176651105193, 140.075699, 140.152878, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.962835, 43.08410234899716, 139.76954459640922, 140.14823968930511, 139.77379129937572, 140.3418339387195, 140.075699, 140.152878, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.957015, 41.80828330111315, 139.76842644416521, 140.14769498440623, 139.77308407100972, 140.34198688137124, 140.075699, 140.152878, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.952455, 47.27576088832105, 139.7661560416598, 140.147259672626, 139.76124346725155, 140.33289891370086, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.952065, 47.169919632605925, 139.76607948558402, 140.14722480013032, 139.76119363313788, 140.33291160495733, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.947085, 45.858912825087636, 139.76509405205172, 140.1467873765198, 139.76054548283938, 140.33308546954154, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.940245, 44.172669605419145, 139.76371685328095, 140.14621028957626, 139.7596196846833, 140.33335983912622, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.937355, 43.49690328727837, 139.76312675644837, 140.14597467212312, 139.75921620610106, 140.3334880796132, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.936355, 43.26786372492003, 139.76292143876375, 140.14589427552207, 139.75907489624078, 140.33353415137825, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
"[139.935405, 43.052499214083895, 139.7627258487616, 140.14581843695277, 139.7589398445709, 140.33357872685767, 140.074371, 140.151459, '148.405925147.111675146.731395', '133.397005137.383137.385025', '142.859665142.8105142.561', '137.385025137.875137.916', '141.5105141.4695141.4565', '139.555139.5825139.583']"
