datetime,pontos,valor,rsi,b7l,b7u,b21l,b21u,ema100,ema200
"[datetime.datetime(2023, 2, 17, 8, 44, 37, 843040), 0, 1.193655, 52.22929936305768, 1.1934164742902866, 1.1938735257097135, 1.1929274510645995, 1.1943492156020672, 1.1938663000000005, 1.1935334750000004, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 44, 38, 862362), 0, 1.193625, 50.33112582781671, 1.1934164742902866, 1.1938735257097135, 1.1929274510645995, 1.1943492156020672, 1.1938660000000005, 1.1935333250000004, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 44, 39, 882480), 0, 1.193615, 49.664429530214136, 1.1934164742902866, 1.1938735257097135, 1.1929274510645995, 1.1943492156020672, 1.1938659000000005, 1.1935332750000003, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 44, 40, 899655), 0, 1.193605, 48.979591836743325, 1.1934164742902866, 1.1938735257097135, 1.1929274510645995, 1.1943492156020672, 1.1938658000000004, 1.1935332250000004, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 44, 41, 916210), 0, 1.193595, 48.275862068969744, 1.1934164742902866, 1.1938735257097135, 1.1929274510645995, 1.1943492156020672, 1.1938657000000006, 1.1935331750000002, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 44, 42, 934673), 0, 1.19357, 46.4285714285805, 1.1934164742902866, 1.1938735257097135, 1.1929274510645995, 1.1943492156020672, 1.1938654500000003, 1.1935330500000003, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 44, 43, 963983), 0, 1.19358, 47.18309859156295, 1.1934164742902866, 1.1938735257097135, 1.1929274510645995, 1.1943492156020672, 1.1938655500000004, 1.1935331000000005, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 44, 44, 980711), 0, 1.193565, 46.043165467632555, 1.1934164742902866, 1.1938735257097135, 1.1929274510645995, 1.1943492156020672, 1.1938654000000006, 1.1935330250000005, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 44, 45, 999754), -1, 1.193495, 41.830065359483, 1.1934164742902866, 1.1938735257097135, 1.1929274510645995, 1.1943492156020672, 1.1938647000000004, 1.1935326750000004, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
"[datetime.datetime(2023, 2, 17, 8, 44, 47, 29218), -2, 1.193415, 37.86982248520944, 1.1934164742902866, 1.1938735257097135, 1.1929274510645995, 1.1943492156020672, 1.1938639000000004, 1.1935322750000004, '1.244811.2446551.231265', '1.033911.092371.114715', '1.244811.2436151.24306', '1.191505', '1.2027351.202731.20273', '1.1915051.191581.19158']"
